year,month,mean_temp,max_temp,min_temp,precipitation
1916,Dec,25.53,30.07,21.05,287.22
1917,Jan,25.09,29.57,20.67,321.99
1917,Feb,25.13,29.7,20.61,292.16
1917,Mar,25.39,29.95,20.88,305.29
1917,Apr,25.63,30.25,21.05,245.44
1917,May,25.53,30.13,20.97,230.39
1917,Jun,25.23,29.86,20.64,191.58
1917,Jul,25.05,29.77,20.38,179.58
1917,Aug,25.05,29.9,20.26,236.96
1917,Sep,25.51,30.42,20.64,194.78
1917,Oct,25.89,30.88,20.96,246.68
1917,Nov,26.07,30.85,21.33,238.67
1917,Dec,25.7,30.24,21.2,293.24
1918,Jan,24.79,29.25,20.38,329.39
1918,Feb,24.78,29.35,20.27,234.2
1918,Mar,25.38,29.94,20.87,237.46
1918,Apr,25.7,30.34,21.12,255.56
1918,May,25.73,30.33,21.17,232.61
1918,Jun,25.15,29.79,20.56,180.56
1918,Jul,24.91,29.63,20.25,115.07
1918,Aug,25.02,29.89,20.21,140.1
1918,Sep,25.35,30.26,20.48,138.71
1918,Oct,25.71,30.7,20.78,183.33
1918,Nov,26.07,30.85,21.35,244.23
1918,Dec,25.5,30.03,21.03,278.78
1919,Jan,25.54,30.01,21.13,279.36
1919,Feb,25.67,30.23,21.15,260.44
1919,Mar,25.81,30.37,21.3,269.01
1919,Apr,25.87,30.5,21.29,251.46
1919,May,25.92,30.52,21.37,247.3
1919,Jun,25.36,30.0,20.77,144.5
1919,Jul,24.8,29.49,20.16,161.94
1919,Aug,25.02,29.88,20.21,122.21
1919,Sep,25.38,30.27,20.54,169.79
1919,Oct,25.73,30.7,20.82,161.05
1919,Nov,26.0,30.75,21.3,235.7
1919,Dec,25.58,30.09,21.13,286.65
1920,Jan,25.22,29.67,20.82,308.59
1920,Feb,25.31,29.86,20.8,231.81
1920,Mar,25.7,30.25,21.2,273.12
1920,Apr,25.78,30.38,21.22,292.84
1920,May,25.94,30.56,21.37,207.7
1920,Jun,25.46,30.11,20.86,182.84
1920,Jul,25.15,29.87,20.48,134.55
1920,Aug,25.08,29.94,20.27,190.85
1920,Sep,25.61,30.53,20.74,178.17
1920,Oct,25.93,30.92,21.0,235.23
1920,Nov,26.14,30.88,21.44,243.97
1920,Dec,25.42,29.93,20.96,239.03
1921,Jan,25.41,29.85,21.01,299.06
1921,Feb,25.35,29.9,20.84,293.85
1921,Mar,25.47,30.02,20.98,311.11
1921,Apr,25.68,30.28,21.12,243.06
1921,May,25.59,30.21,21.02,226.64
1921,Jun,25.21,29.83,20.64,184.16
1921,Jul,25.0,29.72,20.33,174.81
1921,Aug,25.16,29.99,20.37,157.59
1921,Sep,25.39,30.31,20.52,187.28
1921,Oct,25.6,30.56,20.69,237.24
1921,Nov,25.93,30.7,21.21,246.78
1921,Dec,25.57,30.08,21.11,266.17
1922,Jan,25.49,29.94,21.08,294.32
1922,Feb,25.26,29.83,20.75,233.71
1922,Mar,25.41,29.95,20.92,291.11
1922,Apr,25.62,30.22,21.07,272.93
1922,May,25.57,30.19,21.0,242.52
1922,Jun,25.25,29.9,20.65,170.52
1922,Jul,25.0,29.72,20.33,148.07
1922,Aug,24.93,29.76,20.16,163.03
1922,Sep,25.4,30.29,20.56,147.18
1922,Oct,25.63,30.62,20.69,233.14
1922,Nov,26.14,30.9,21.43,233.12
1922,Dec,25.74,30.27,21.26,260.89
1923,Jan,25.36,29.82,20.96,299.14
1923,Feb,25.47,30.03,20.96,247.21
1923,Mar,25.49,30.03,21.01,255.32
1923,Apr,25.89,30.52,21.31,238.45
1923,May,25.78,30.4,21.21,226.93
1923,Jun,25.36,29.98,20.78,168.81
1923,Jul,24.77,29.49,20.1,197.51
1923,Aug,24.73,29.57,19.95,125.7
1923,Sep,25.15,30.06,20.28,132.61
1923,Oct,25.78,30.73,20.87,196.28
1923,Nov,26.01,30.76,21.3,226.52
1923,Dec,25.63,30.15,21.17,280.84
1924,Jan,25.62,30.01,21.28,285.08
1924,Feb,25.49,30.0,21.03,279.22
1924,Mar,25.59,30.08,21.16,328.59
1924,Apr,25.76,30.39,21.18,270.59
1924,May,25.87,30.47,21.33,274.85
1924,Jun,25.35,30.0,20.77,198.31
1924,Jul,25.1,29.8,20.46,154.57
1924,Aug,25.26,30.1,20.47,156.37
1924,Sep,25.35,30.24,20.51,175.49
1924,Oct,25.44,30.39,20.54,225.47
1924,Nov,25.84,30.57,21.15,273.19
1924,Dec,25.45,29.97,20.98,265.43
1925,Jan,25.34,29.83,20.9,300.23
1925,Feb,25.08,29.63,20.57,276.24
1925,Mar,25.29,29.83,20.81,273.65
1925,Apr,25.72,30.33,21.15,262.76
1925,May,25.86,30.53,21.23,194.39
1925,Jun,25.39,30.06,20.78,176.26
1925,Jul,25.0,29.72,20.33,130.72
1925,Aug,25.15,30.08,20.27,137.13
1925,Sep,25.43,30.4,20.5,169.01
1925,Oct,25.67,30.66,20.74,186.55
1925,Nov,25.92,30.74,21.16,237.45
1925,Dec,25.61,30.16,21.11,302.64
1926,Jan,25.3,29.75,20.91,285.73
1926,Feb,25.55,30.19,20.96,252.69
1926,Mar,25.7,30.36,21.08,271.38
1926,Apr,26.13,30.79,21.52,263.66
1926,May,26.08,30.7,21.51,252.91
1926,Jun,25.49,30.13,20.89,166.09
1926,Jul,25.08,29.86,20.36,144.18
1926,Aug,25.27,30.19,20.41,146.89
1926,Sep,25.42,30.38,20.5,162.49
1926,Oct,25.73,30.73,20.78,196.52
1926,Nov,25.97,30.79,21.19,238.02
1926,Dec,25.64,30.15,21.18,297.05
1927,Jan,25.34,29.78,20.95,280.88
1927,Feb,25.51,30.1,20.96,245.86
1927,Mar,25.72,30.29,21.21,304.06
1927,Apr,25.83,30.44,21.26,280.09
1927,May,25.86,30.54,21.24,230.12
1927,Jun,25.39,30.08,20.75,175.84
1927,Jul,25.1,29.82,20.43,146.29
1927,Aug,25.18,30.06,20.35,152.44
1927,Sep,25.4,30.35,20.49,183.01
1927,Oct,25.63,30.62,20.68,196.36
1927,Nov,25.9,30.72,21.14,260.02
1927,Dec,25.69,30.26,21.18,287.85
1928,Jan,25.57,30.09,21.11,287.01
1928,Feb,25.52,30.04,21.05,289.0
1928,Mar,25.58,30.15,21.06,294.15
1928,Apr,25.83,30.48,21.23,258.89
1928,May,25.95,30.61,21.34,206.35
1928,Jun,25.36,30.03,20.73,152.34
1928,Jul,25.03,29.81,20.3,156.56
1928,Aug,25.13,30.02,20.29,172.2
1928,Sep,25.41,30.38,20.49,130.05
1928,Oct,25.7,30.72,20.74,225.34
1928,Nov,25.88,30.68,21.13,250.67
1928,Dec,25.68,30.2,21.21,304.91
1929,Jan,25.31,29.83,20.84,260.86
1929,Feb,25.33,29.87,20.84,256.02
1929,Mar,25.33,29.85,20.85,305.23
1929,Apr,25.81,30.47,21.2,245.08
1929,May,25.7,30.34,21.11,207.97
1929,Jun,25.19,29.85,20.58,183.21
1929,Jul,24.89,29.61,20.22,124.03
1929,Aug,25.05,29.92,20.23,154.72
1929,Sep,25.39,30.32,20.51,169.65
1929,Oct,25.7,30.72,20.72,196.22
1929,Nov,25.8,30.59,21.06,238.67
1929,Dec,25.51,30.08,21.0,270.42
1930,Jan,25.5,30.03,21.03,257.74
1930,Feb,25.39,30.04,20.79,225.36
1930,Mar,25.59,30.15,21.07,304.63
1930,Apr,25.75,30.43,21.12,265.38
1930,May,25.89,30.49,21.34,239.13
1930,Jun,25.25,29.93,20.63,182.68
1930,Jul,25.12,29.86,20.43,113.69
1930,Aug,25.37,30.26,20.54,125.53
1930,Sep,25.45,30.37,20.57,125.08
1930,Oct,25.74,30.73,20.8,238.99
1930,Nov,25.94,30.71,21.22,228.31
1930,Dec,25.74,30.31,21.21,300.54
1931,Jan,25.71,30.17,21.3,315.51
1931,Feb,25.76,30.4,21.16,247.04
1931,Mar,25.84,30.46,21.28,294.04
1931,Apr,25.96,30.6,21.36,282.84
1931,May,26.03,30.68,21.42,251.28
1931,Jun,25.55,30.18,20.98,207.69
1931,Jul,25.07,29.81,20.39,182.54
1931,Aug,25.44,30.3,20.63,152.14
1931,Sep,25.45,30.39,20.55,213.08
1931,Oct,25.72,30.7,20.78,224.79
1931,Nov,25.94,30.73,21.19,242.7
1931,Dec,25.54,30.05,21.07,293.38
1932,Jan,25.36,29.83,20.94,281.72
1932,Feb,25.4,30.02,20.83,248.64
1932,Mar,25.46,30.01,20.95,321.81
1932,Apr,25.74,30.37,21.15,293.21
1932,May,25.8,30.44,21.21,259.54
1932,Jun,25.21,29.88,20.59,211.54
1932,Jul,24.99,29.74,20.3,158.59
1932,Aug,25.07,29.97,20.23,179.24
1932,Sep,25.37,30.29,20.51,148.97
1932,Oct,25.78,30.76,20.86,243.02
1932,Nov,25.79,30.56,21.06,243.34
1932,Dec,25.62,30.18,21.1,301.7
1933,Jan,25.56,29.99,21.19,309.99
1933,Feb,25.3,29.93,20.72,238.73
1933,Mar,25.5,30.04,21.01,301.63
1933,Apr,25.74,30.36,21.17,254.28
1933,May,25.94,30.6,21.34,246.6
1933,Jun,25.4,30.05,20.79,187.37
1933,Jul,25.01,29.7,20.38,169.75
1933,Aug,25.38,30.25,20.56,216.86
1933,Sep,25.26,30.18,20.38,198.56
1933,Oct,25.62,30.59,20.71,229.79
1933,Nov,25.74,30.52,21.0,260.85
1933,Dec,25.45,30.04,20.9,265.09
1934,Jan,25.18,29.63,20.78,318.66
1934,Feb,25.09,29.66,20.57,238.64
1934,Mar,25.23,29.76,20.74,293.24
1934,Apr,25.61,30.23,21.04,285.27
1934,May,25.77,30.39,21.21,197.0
1934,Jun,25.3,29.92,20.73,208.15
1934,Jul,25.08,29.8,20.41,195.8
1934,Aug,25.11,29.98,20.29,175.22
1934,Sep,25.36,30.28,20.5,149.35
1934,Oct,25.69,30.64,20.79,216.68
1934,Nov,25.91,30.68,21.18,279.32
1934,Dec,25.63,30.21,21.1,256.22
1935,Jan,25.5,30.02,21.02,268.0
1935,Feb,25.6,30.23,21.02,247.57
1935,Mar,25.75,30.3,21.24,282.98
1935,Apr,25.72,30.36,21.12,269.76
1935,May,25.74,30.34,21.19,239.52
1935,Jun,25.17,29.81,20.58,178.06
1935,Jul,24.98,29.67,20.33,139.88
1935,Aug,24.98,29.81,20.21,162.32
1935,Sep,25.48,30.37,20.63,130.89
1935,Oct,25.74,30.69,20.84,259.95
1935,Nov,25.94,30.7,21.24,263.6
1935,Dec,25.72,30.29,21.21,271.11
1936,Jan,25.48,29.93,21.08,311.28
1936,Feb,25.65,30.28,21.06,238.78
1936,Mar,25.65,30.19,21.16,298.29
1936,Apr,25.78,30.39,21.22,276.33
1936,May,25.93,30.52,21.39,255.4
1936,Jun,25.32,29.94,20.74,193.42
1936,Jul,25.06,29.76,20.41,167.21
1936,Aug,25.12,29.98,20.3,165.1
1936,Sep,25.44,30.33,20.6,170.9
1936,Oct,25.6,30.57,20.68,228.88
1936,Nov,25.89,30.64,21.19,260.81
1936,Dec,25.74,30.29,21.23,261.17
1937,Jan,25.44,29.93,21.0,278.2
1937,Feb,25.63,30.22,21.09,245.71
1937,Mar,25.85,30.43,21.32,261.36
1937,Apr,25.82,30.38,21.31,322.65
1937,May,25.68,30.31,21.11,244.8
1937,Jun,25.33,29.97,20.75,193.82
1937,Jul,24.98,29.67,20.33,187.57
1937,Aug,25.15,30.01,20.34,156.9
1937,Sep,25.42,30.35,20.54,188.6
1937,Oct,25.66,30.62,20.74,204.66
1937,Nov,25.95,30.72,21.22,231.28
1937,Dec,25.64,30.14,21.19,294.71
1938,Jan,25.56,30.02,21.16,285.28
1938,Feb,25.68,30.25,21.16,234.9
1938,Mar,25.65,30.16,21.2,315.37
1938,Apr,25.86,30.47,21.3,252.21
1938,May,25.79,30.4,21.23,259.31
1938,Jun,25.31,29.98,20.69,175.01
1938,Jul,24.99,29.74,20.29,180.46
1938,Aug,24.95,29.8,20.14,199.44
1938,Sep,25.41,30.32,20.56,160.3
1938,Oct,25.76,30.74,20.82,189.49
1938,Nov,25.91,30.66,21.2,264.25
1938,Dec,25.65,30.19,21.17,292.62
1939,Jan,25.57,29.99,21.21,292.06
1939,Feb,25.5,30.03,21.0,231.12
1939,Mar,25.6,30.16,21.08,239.51
1939,Apr,25.82,30.43,21.26,282.47
1939,May,25.71,30.34,21.13,247.54
1939,Jun,25.16,29.81,20.56,217.56
1939,Jul,25.11,29.86,20.4,169.98
1939,Aug,25.13,30.0,20.31,162.06
1939,Sep,25.29,30.17,20.46,179.92
1939,Oct,25.6,30.54,20.72,206.53
1939,Nov,25.93,30.71,21.2,218.13
1939,Dec,25.66,30.15,21.22,278.08
1940,Jan,25.48,29.95,21.07,269.12
1940,Feb,25.4,30.0,20.85,246.05
1940,Mar,25.63,30.21,21.11,262.41
1940,Apr,25.78,30.43,21.18,265.55
1940,May,25.55,30.14,21.0,261.76
1940,Jun,25.32,29.94,20.76,175.9
1940,Jul,25.18,29.94,20.46,123.7
1940,Aug,24.95,29.79,20.16,154.26
1940,Sep,25.49,30.4,20.64,139.48
1940,Oct,25.97,30.94,21.05,163.84
1940,Nov,26.04,30.8,21.32,208.1
1940,Dec,25.84,30.43,21.3,280.99
1941,Jan,25.85,30.38,21.37,282.83
1941,Feb,25.88,30.51,21.31,252.8
1941,Mar,26.09,30.66,21.57,287.95
1941,Apr,26.26,30.88,21.69,271.97
1941,May,26.21,30.79,21.68,256.14
1941,Jun,25.77,30.52,21.07,155.21
1941,Jul,25.17,29.95,20.44,134.63
1941,Aug,25.22,30.11,20.39,139.24
1941,Sep,25.53,30.46,20.65,156.47
1941,Oct,26.08,31.06,21.14,179.16
1941,Nov,25.97,30.73,21.26,255.87
1941,Dec,25.82,30.33,21.36,299.6
1942,Jan,25.56,30.02,21.15,279.19
1942,Feb,25.62,30.17,21.11,244.45
1942,Mar,25.8,30.35,21.3,276.84
1942,Apr,25.85,30.46,21.28,278.13
1942,May,25.93,30.53,21.38,230.14
1942,Jun,25.53,30.18,20.93,183.56
1942,Jul,24.88,29.59,20.21,167.04
1942,Aug,25.06,29.92,20.26,170.34
1942,Sep,25.41,30.31,20.56,172.53
1942,Oct,25.68,30.66,20.76,229.44
1942,Nov,25.77,30.55,21.04,252.54
1942,Dec,25.59,30.11,21.11,291.07
1943,Jan,25.21,29.67,20.8,281.62
1943,Feb,25.3,29.88,20.77,269.6
1943,Mar,25.45,30.01,20.94,306.44
1943,Apr,25.67,30.31,21.08,262.44
1943,May,25.81,30.43,21.23,225.23
1943,Jun,25.19,29.85,20.58,176.74
1943,Jul,24.85,29.59,20.17,170.4
1943,Aug,24.97,29.86,20.14,171.95
1943,Sep,25.3,30.23,20.42,170.07
1943,Oct,25.55,30.54,20.61,219.82
1943,Nov,25.76,30.54,21.03,255.58
1943,Dec,25.5,30.02,21.03,273.5
1944,Jan,25.43,29.89,21.01,267.65
1944,Feb,25.42,29.98,20.9,266.31
1944,Mar,25.6,30.16,21.09,276.29
1944,Apr,25.66,30.3,21.08,255.93
1944,May,25.62,30.25,21.04,232.18
1944,Jun,25.25,29.91,20.63,175.46
1944,Jul,24.8,29.52,20.13,149.56
1944,Aug,24.95,29.82,20.14,152.0
1944,Sep,25.34,30.26,20.48,170.57
1944,Oct,25.73,30.72,20.8,194.23
1944,Nov,25.76,30.55,21.02,241.07
1944,Dec,25.57,30.09,21.1,268.03
1945,Jan,25.54,30.0,21.13,277.03
1945,Feb,25.51,30.07,21.0,270.77
1945,Mar,25.59,30.14,21.08,294.8
1945,Apr,25.76,30.39,21.17,260.71
1945,May,25.73,30.35,21.15,224.74
1945,Jun,25.14,29.79,20.54,167.85
1945,Jul,24.8,29.52,20.12,161.53
1945,Aug,25.07,29.93,20.26,167.14
1945,Sep,25.32,30.24,20.45,181.84
1945,Oct,25.59,30.57,20.66,220.64
1945,Nov,25.74,30.53,21.0,241.57
1945,Dec,25.56,30.09,21.08,281.26
1946,Jan,25.65,30.1,21.26,284.25
1946,Feb,25.39,29.91,20.91,257.28
1946,Mar,25.67,30.19,21.19,281.67
1946,Apr,25.79,30.39,21.24,258.57
1946,May,25.62,30.21,21.07,212.57
1946,Jun,25.42,30.06,20.83,167.96
1946,Jul,25.25,29.97,20.57,152.11
1946,Aug,25.46,30.32,20.65,157.25
1946,Sep,25.32,30.22,20.46,173.86
1946,Oct,25.76,30.75,20.82,190.43
1946,Nov,25.77,30.55,21.04,232.31
1946,Dec,25.66,30.2,21.18,280.58
1947,Jan,25.73,30.2,21.31,275.63
1947,Feb,25.68,30.22,21.19,266.26
1947,Mar,25.64,30.13,21.2,307.53
1947,Apr,25.63,30.21,21.09,279.44
1947,May,25.87,30.46,21.33,204.76
1947,Jun,25.48,30.1,20.92,169.0
1947,Jul,25.04,29.76,20.37,175.27
1947,Aug,25.15,29.99,20.37,200.22
1947,Sep,25.39,30.3,20.53,197.1
1947,Oct,25.7,30.67,20.78,209.62
1947,Nov,25.79,30.57,21.05,226.95
1947,Dec,25.75,30.24,21.32,305.51
1948,Jan,24.93,29.35,20.57,295.15
1948,Feb,25.55,30.08,21.07,282.58
1948,Mar,25.78,30.32,21.3,327.42
1948,Apr,26.01,30.66,21.41,244.99
1948,May,26.08,30.71,21.5,227.32
1948,Jun,25.67,30.32,21.07,174.58
1948,Jul,25.13,29.85,20.47,177.19
1948,Aug,25.15,30.0,20.35,169.6
1948,Sep,25.5,30.43,20.61,176.02
1948,Oct,25.95,30.96,20.99,175.72
1948,Nov,25.89,30.64,21.18,263.55
1948,Dec,25.83,30.41,21.3,258.79
1949,Jan,25.68,30.18,21.24,280.91
1949,Feb,25.65,30.18,21.17,255.8
1949,Mar,25.68,30.25,21.15,254.18
1949,Apr,25.71,30.31,21.15,277.36
1949,May,25.67,30.27,21.12,239.66
1949,Jun,25.24,29.86,20.66,201.26
1949,Jul,24.89,29.59,20.24,186.63
1949,Aug,25.05,29.91,20.24,160.47
1949,Sep,25.35,30.27,20.48,181.27
1949,Oct,25.76,30.73,20.83,217.82
1949,Nov,25.85,30.65,21.09,233.76
1949,Dec,25.71,30.3,21.17,285.92
