province_name,year,month,mean_temp,max_temp,min_temp,precipitation
Aceh,1919,03_Mar,25.32,31.41,19.3,128.03
Aceh,1919,04_Apr,25.84,31.84,19.89,186.74
Aceh,1919,05_May,25.71,31.83,19.64,212.95
Aceh,1919,06_Jun,25.09,31.15,19.08,58.49
Aceh,1919,07_Jul,24.8,31.14,18.54,145.81
Aceh,1919,08_Aug,25.13,31.55,18.77,148.32
Aceh,1919,09_Sep,25.37,31.7,19.1,242.39
Aceh,1919,10_Oct,25.63,31.93,19.4,260.27
Aceh,1919,11_Nov,25.51,31.45,19.62,226.63
Aceh,1919,12_Dec,25.22,31.09,19.4,258.18
Aceh,1920,01_Jan,24.56,30.5,18.66,222.42
Aceh,1920,02_Feb,24.67,30.62,18.74,183.89
Aceh,1920,03_Mar,25.33,31.42,19.31,146.18
Aceh,1920,04_Apr,25.72,31.72,19.77,251.64
Aceh,1920,05_May,25.54,31.66,19.47,161.0
Aceh,1920,06_Jun,25.09,31.14,19.08,124.35
Aceh,1920,07_Jul,24.94,31.28,18.68,103.38
Aceh,1920,08_Aug,24.83,31.24,18.46,271.13
Aceh,1920,09_Sep,25.23,31.56,18.95,272.65
Aceh,1920,10_Oct,25.44,31.73,19.2,235.75
Aceh,1920,11_Nov,25.66,31.6,19.77,294.78
Aceh,1920,12_Dec,24.97,30.83,19.15,213.7
Aceh,1921,01_Jan,24.64,30.58,18.74,295.41
Aceh,1921,02_Feb,24.58,30.54,18.65,206.57
Aceh,1921,03_Mar,25.17,31.26,19.15,265.67
Aceh,1921,04_Apr,25.67,31.67,19.72,109.08
Aceh,1921,05_May,25.31,31.43,19.24,226.01
Aceh,1921,06_Jun,24.9,30.96,18.9,130.77
Aceh,1921,07_Jul,24.77,31.1,18.5,95.92
Aceh,1921,08_Aug,24.94,31.36,18.58,164.31
Aceh,1921,09_Sep,25.2,31.52,18.92,300.7
Aceh,1921,10_Oct,25.34,31.64,19.11,246.16
Aceh,1921,11_Nov,25.34,31.28,19.45,316.95
Aceh,1921,12_Dec,25.31,31.17,19.49,202.98
Aceh,1922,01_Jan,24.69,30.63,18.79,309.4
Aceh,1922,02_Feb,24.69,30.65,18.76,81.43
Aceh,1922,03_Mar,24.87,30.97,18.86,272.39
Aceh,1922,04_Apr,25.28,31.27,19.32,328.51
Aceh,1922,05_May,25.26,31.38,19.18,253.32
Aceh,1922,06_Jun,24.81,30.87,18.81,90.77
Aceh,1922,07_Jul,24.72,31.05,18.46,169.06
Aceh,1922,08_Aug,24.73,31.14,18.36,237.71
Aceh,1922,09_Sep,25.23,31.56,18.95,199.66
Aceh,1922,10_Oct,25.4,31.7,19.17,270.5
Aceh,1922,11_Nov,25.57,31.51,19.68,289.57
Aceh,1922,12_Dec,25.26,31.12,19.44,236.39
Aceh,1923,01_Jan,24.45,30.39,18.56,175.83
Aceh,1923,02_Feb,24.61,30.57,18.68,147.71
Aceh,1923,03_Mar,25.03,31.13,19.02,181.51
Aceh,1923,04_Apr,25.67,31.66,19.72,173.73
Aceh,1923,05_May,25.36,31.48,19.28,181.46
Aceh,1923,06_Jun,24.95,31.0,18.94,100.64
Aceh,1923,07_Jul,24.54,30.88,18.28,80.35
Aceh,1923,08_Aug,24.74,31.16,18.38,143.96
Aceh,1923,09_Sep,24.89,31.22,18.61,273.53
Aceh,1923,10_Oct,25.42,31.72,19.19,351.23
