province_name,year,month,mean_temp
Aceh,1924,Jul,24.75
Aceh,1924,Aug,25.08
Aceh,1924,Sep,25.11
Aceh,1924,Oct,25.24
Aceh,1924,Nov,25.25
Aceh,1924,Dec,24.94
Aceh,1925,Jan,24.35
Aceh,1925,Feb,24.33
Aceh,1925,Mar,24.89
Aceh,1925,Apr,25.53
Aceh,1925,May,25.49
Aceh,1925,Jun,24.97
Aceh,1925,Jul,24.89
Aceh,1925,Aug,24.92
Aceh,1925,Sep,25.21
Aceh,1925,Oct,25.28
Aceh,1925,Nov,25.43
Aceh,1925,Dec,25.05
Aceh,1926,Jan,24.42
Aceh,1926,Feb,24.81
Aceh,1926,Mar,25.24
Aceh,1926,Apr,25.98
Aceh,1926,May,25.79
Aceh,1926,Jun,25.06
Aceh,1926,Jul,24.88
Aceh,1926,Aug,24.96
Aceh,1926,Sep,25.09
Aceh,1926,Oct,25.37
Aceh,1926,Nov,25.45
Aceh,1926,Dec,25.22
Aceh,1927,Jan,24.46
Aceh,1927,Feb,24.68
Aceh,1927,Mar,25.2
Aceh,1927,Apr,25.46
Aceh,1927,May,25.28
Aceh,1927,Jun,24.85
Aceh,1927,Jul,24.83
Aceh,1927,Aug,24.94
Aceh,1927,Sep,25.26
Aceh,1927,Oct,25.28
Aceh,1927,Nov,25.39
Aceh,1927,Dec,25.25
Aceh,1928,Jan,24.6
Aceh,1928,Feb,24.69
Aceh,1928,Mar,24.96
Aceh,1928,Apr,25.43
Aceh,1928,May,25.47
Aceh,1928,Jun,24.92
Aceh,1928,Jul,24.85
Aceh,1928,Aug,24.86
Aceh,1928,Sep,25.21
Aceh,1928,Oct,25.36
Aceh,1928,Nov,25.44
Aceh,1928,Dec,25.44
Aceh,1929,Jan,24.5
Aceh,1929,Feb,24.45
Aceh,1929,Mar,24.8
Aceh,1929,Apr,25.59
Aceh,1929,May,25.45
Aceh,1929,Jun,24.69
Aceh,1929,Jul,24.96
Aceh,1929,Aug,24.94
Aceh,1929,Sep,25.24
Aceh,1929,Oct,25.26
Aceh,1929,Nov,25.24
Aceh,1929,Dec,25.19
Aceh,1930,Jan,24.47
Aceh,1930,Feb,24.67
Aceh,1930,Mar,24.88
Aceh,1930,Apr,25.63
Aceh,1930,May,25.51
Aceh,1930,Jun,24.81
Aceh,1930,Jul,25.06
Aceh,1930,Aug,25.3
Aceh,1930,Sep,25.18
Aceh,1930,Oct,25.53
Aceh,1930,Nov,25.48
Aceh,1930,Dec,25.24
Aceh,1931,Jan,24.68
Aceh,1931,Feb,25.01
Aceh,1931,Mar,25.32
Aceh,1931,Apr,25.86
Aceh,1931,May,25.65
Aceh,1931,Jun,25.07
Aceh,1931,Jul,24.85
Aceh,1931,Aug,25.29
Aceh,1931,Sep,25.21
Aceh,1931,Oct,25.4
Aceh,1931,Nov,25.47
Aceh,1931,Dec,25.01
Aceh,1932,Jan,24.34
Aceh,1932,Feb,24.64
Aceh,1932,Mar,24.97
Aceh,1932,Apr,25.45
Aceh,1932,May,25.4
Aceh,1932,Jun,24.67
Aceh,1932,Jul,24.79
Aceh,1932,Aug,24.71
Aceh,1932,Sep,25.05
Aceh,1932,Oct,25.47
Aceh,1932,Nov,25.23
Aceh,1932,Dec,25.13
Aceh,1933,Jan,24.53
Aceh,1933,Feb,24.62
Aceh,1933,Mar,25.03
Aceh,1933,Apr,25.58
Aceh,1933,May,25.57
Aceh,1933,Jun,24.97
Aceh,1933,Jul,24.8
Aceh,1933,Aug,25.07
Aceh,1933,Sep,25.07
Aceh,1933,Oct,25.28
Aceh,1933,Nov,25.19
Aceh,1933,Dec,24.93
Aceh,1934,Jan,24.16
Aceh,1934,Feb,24.31
Aceh,1934,Mar,24.74
Aceh,1934,Apr,25.34
Aceh,1934,May,25.48
Aceh,1934,Jun,24.77
Aceh,1934,Jul,24.88
Aceh,1934,Aug,24.9
Aceh,1934,Sep,25.26
Aceh,1934,Oct,25.37
Aceh,1934,Nov,25.31
Aceh,1934,Dec,25.05
Aceh,1935,Jan,24.45
Aceh,1935,Feb,24.68
Aceh,1935,Mar,25.25
Aceh,1935,Apr,25.56
Aceh,1935,May,25.22
Aceh,1935,Jun,24.73
Aceh,1935,Jul,24.94
Aceh,1935,Aug,24.86
Aceh,1935,Sep,25.22
Aceh,1935,Oct,25.5
Aceh,1935,Nov,25.36
Aceh,1935,Dec,25.14
Aceh,1936,Jan,24.5
Aceh,1936,Feb,24.82
Aceh,1936,Mar,24.99
Aceh,1936,Apr,25.6
Aceh,1936,May,25.55
Aceh,1936,Jun,24.8
Aceh,1936,Jul,24.81
Aceh,1936,Aug,24.78
Aceh,1936,Sep,25.24
Aceh,1936,Oct,25.27
Aceh,1936,Nov,25.41
Aceh,1936,Dec,25.35
Aceh,1937,Jan,24.59
Aceh,1937,Feb,24.81
Aceh,1937,Mar,25.22
Aceh,1937,Apr,25.67
Aceh,1937,May,25.26
Aceh,1937,Jun,24.94
Aceh,1937,Jul,24.84
Aceh,1937,Aug,25.09
Aceh,1937,Sep,25.23
Aceh,1937,Oct,25.32
Aceh,1937,Nov,25.49
Aceh,1937,Dec,25.14
Aceh,1938,Jan,24.59
Aceh,1938,Feb,24.94
Aceh,1938,Mar,24.93
Aceh,1938,Apr,25.57
Aceh,1938,May,25.3
Aceh,1938,Jun,24.97
Aceh,1938,Jul,24.79
Aceh,1938,Aug,24.77
Aceh,1938,Sep,25.17
Aceh,1938,Oct,25.45
Aceh,1938,Nov,25.31
Aceh,1938,Dec,25.21
Aceh,1939,Jan,24.72
Aceh,1939,Feb,24.57
Aceh,1939,Mar,25.0
Aceh,1939,Apr,25.57
Aceh,1939,May,25.44
Aceh,1939,Jun,24.67
Aceh,1939,Jul,24.78
Aceh,1939,Aug,24.91
Aceh,1939,Sep,25.0
Aceh,1939,Oct,25.26
Aceh,1939,Nov,25.43
Aceh,1939,Dec,24.8
Aceh,1940,Jan,24.09
Aceh,1940,Feb,24.6
Aceh,1940,Mar,25.07
Aceh,1940,Apr,25.69
Aceh,1940,May,25.46
Aceh,1940,Jun,25.04
Aceh,1940,Jul,24.86
Aceh,1940,Aug,24.72
Aceh,1940,Sep,25.12
Aceh,1940,Oct,25.54
Aceh,1940,Nov,25.53
Aceh,1940,Dec,25.26
Aceh,1941,Jan,24.74
Aceh,1941,Feb,24.86
Aceh,1941,Mar,25.11
Aceh,1941,Apr,25.9
Aceh,1941,May,25.68
Aceh,1941,Jun,25.24
Aceh,1941,Jul,24.99
Aceh,1941,Aug,25.07
Aceh,1941,Sep,25.35
Aceh,1941,Oct,25.71
Aceh,1941,Nov,25.66
Aceh,1941,Dec,25.61
Aceh,1942,Jan,24.6
Aceh,1942,Feb,24.75
Aceh,1942,Mar,24.8
Aceh,1942,Apr,25.35
Aceh,1942,May,25.22
Aceh,1942,Jun,24.69
Aceh,1942,Jul,24.52
Aceh,1942,Aug,24.61
Aceh,1942,Sep,24.88
Aceh,1942,Oct,25.15
Aceh,1942,Nov,25.1
Aceh,1942,Dec,24.85
Aceh,1943,Jan,24.17
Aceh,1943,Feb,24.44
Aceh,1943,Mar,24.8
Aceh,1943,Apr,25.31
Aceh,1943,May,25.22
Aceh,1943,Jun,24.69
Aceh,1943,Jul,24.52
Aceh,1943,Aug,24.61
Aceh,1943,Sep,24.88
Aceh,1943,Oct,25.15
Aceh,1943,Nov,25.1
Aceh,1943,Dec,24.83
Aceh,1944,Jan,24.21
Aceh,1944,Feb,24.46
Aceh,1944,Mar,24.8
Aceh,1944,Apr,25.35
Aceh,1944,May,25.22
Aceh,1944,Jun,24.69
Aceh,1944,Jul,24.52
Aceh,1944,Aug,24.61
Aceh,1944,Sep,24.88
Aceh,1944,Oct,25.15
Aceh,1944,Nov,25.1
Aceh,1944,Dec,24.81
Aceh,1945,Jan,24.2
Aceh,1945,Feb,24.47
Aceh,1945,Mar,24.79
Aceh,1945,Apr,25.35
Aceh,1945,May,25.22
Aceh,1945,Jun,24.69
Aceh,1945,Jul,24.52
Aceh,1945,Aug,24.61
Aceh,1945,Sep,24.88
Aceh,1945,Oct,25.15
Aceh,1945,Nov,25.13
Aceh,1945,Dec,24.87
Aceh,1946,Jan,24.43
Aceh,1946,Feb,24.84
Aceh,1946,Mar,25.28
Aceh,1946,Apr,25.6
Aceh,1946,May,25.52
Aceh,1946,Jun,24.98
Aceh,1946,Jul,24.82
Aceh,1946,Aug,24.81
Aceh,1946,Sep,25.15
Aceh,1946,Oct,25.45
Aceh,1946,Nov,25.48
Aceh,1946,Dec,25.28
Aceh,1947,Jan,24.32
Aceh,1947,Feb,24.81
Aceh,1947,Mar,25.18
Aceh,1947,Apr,25.62
Aceh,1947,May,25.65
Aceh,1947,Jun,24.91
Aceh,1947,Jul,24.77
Aceh,1947,Aug,24.61
Aceh,1947,Sep,25.18
Aceh,1947,Oct,25.46
Aceh,1947,Nov,25.37
Aceh,1947,Dec,25.14
Aceh,1948,Jan,24.57
Aceh,1948,Feb,24.74
Aceh,1948,Mar,25.26
Aceh,1948,Apr,25.77
Aceh,1948,May,25.56
Aceh,1948,Jun,25.13
Aceh,1948,Jul,24.87
Aceh,1948,Aug,25.12
Aceh,1948,Sep,25.31
Aceh,1948,Oct,25.59
Aceh,1948,Nov,25.41
Aceh,1948,Dec,25.55
Aceh,1949,Jan,24.59
Aceh,1949,Feb,24.89
Aceh,1949,Mar,25.42
Aceh,1949,Apr,25.69
Aceh,1949,May,25.52
Aceh,1949,Jun,24.93
Aceh,1949,Jul,24.78
Aceh,1949,Aug,25.02
Aceh,1949,Sep,25.25
