province_name,year,month,max_temp
Aceh,1944,Feb,30.54
Aceh,1944,Mar,30.97
Aceh,1944,Apr,31.45
Aceh,1944,May,31.46
Aceh,1944,Jun,30.93
Aceh,1944,Jul,30.86
Aceh,1944,Aug,31.03
Aceh,1944,Sep,31.21
Aceh,1944,Oct,31.45
Aceh,1944,Nov,31.2
Aceh,1944,Dec,30.63
Aceh,1945,Jan,30.16
Aceh,1945,Feb,30.42
Aceh,1945,Mar,30.77
Aceh,1945,Apr,31.42
Aceh,1945,May,31.4
Aceh,1945,Jun,30.75
Aceh,1945,Jul,30.86
Aceh,1945,Aug,31.03
Aceh,1945,Sep,31.29
Aceh,1945,Oct,31.38
Aceh,1945,Nov,31.23
Aceh,1945,Dec,30.83
Aceh,1946,Jan,30.25
Aceh,1946,Feb,30.6
Aceh,1946,Mar,31.15
Aceh,1946,Apr,31.42
Aceh,1946,May,31.46
Aceh,1946,Jun,31.04
Aceh,1946,Jul,31.26
Aceh,1946,Aug,31.28
Aceh,1946,Sep,31.42
Aceh,1946,Oct,31.85
Aceh,1946,Nov,31.52
Aceh,1946,Dec,31.21
Aceh,1947,Jan,30.3
Aceh,1947,Feb,30.74
Aceh,1947,Mar,30.95
Aceh,1947,Apr,31.5
Aceh,1947,May,31.72
Aceh,1947,Jun,30.96
Aceh,1947,Jul,31.11
Aceh,1947,Aug,30.9
Aceh,1947,Sep,31.51
Aceh,1947,Oct,31.68
Aceh,1947,Nov,31.5
Aceh,1947,Dec,30.83
Aceh,1948,Jan,30.25
Aceh,1948,Feb,30.52
Aceh,1948,Mar,31.15
Aceh,1948,Apr,31.78
Aceh,1948,May,31.73
Aceh,1948,Jun,31.19
Aceh,1948,Jul,31.12
Aceh,1948,Aug,31.37
Aceh,1948,Sep,31.67
Aceh,1948,Oct,31.93
Aceh,1948,Nov,31.33
Aceh,1948,Dec,31.8
Aceh,1949,Jan,30.65
Aceh,1949,Feb,30.6
Aceh,1949,Mar,31.59
Aceh,1949,Apr,31.51
Aceh,1949,May,31.56
Aceh,1949,Jun,30.89
Aceh,1949,Jul,30.93
Aceh,1949,Aug,31.31
Aceh,1949,Sep,31.59
Aceh,1949,Oct,31.47
Aceh,1949,Nov,31.36
Aceh,1949,Dec,31.21
Aceh,1950,Jan,30.69
Aceh,1950,Feb,30.8
Aceh,1950,Mar,31.28
Aceh,1950,Apr,31.37
Aceh,1950,May,31.55
Aceh,1950,Jun,30.91
Aceh,1950,Jul,31.13
Aceh,1950,Aug,31.33
Aceh,1950,Sep,31.3
Aceh,1950,Oct,31.57
Aceh,1950,Nov,31.35
Aceh,1950,Dec,31.0
Aceh,1951,Jan,29.39
Aceh,1951,Feb,29.33
Aceh,1951,Mar,30.63
Aceh,1951,Apr,31.23
Aceh,1951,May,30.84
Aceh,1951,Jun,30.92
Aceh,1951,Jul,30.35
